|                                              Func	     Calls	       Total	         Max	         Avr|
|                cubesvr::CFinishGenerator::Process	      1935	    0.503425	    0.018065	    0.000260|
|                                            Ores_6	      1929	    0.496172	    0.018065	    0.000257|
|           cubesvr::CFinishGenerator::ResetProcess	      1929	    0.193284	    0.006473	    0.000100|
|                                       TallGrass_5	      1935	    0.191321	    0.006472	    0.000099|
|           cubesvr::CGenerator::DoGenerateToBinary	         6	    0.020290	    0.006168	    0.003382|
|                  cubesvr::CGenerator::CreateShape	         6	    0.011844	    0.002552	    0.001974|
|        cubesvr::CComposeGenerator::ComposeTerrain	         6	    0.001404	    0.000573	    0.000234|
|                                       HugeCurve_9	         6	    0.003798	    0.002698	    0.000633|
|                     HugeCurveProcess SpecialCurve	         2	    0.000067	    0.000058	    0.000034|
|                                      FluidLakes_0	         6	    0.000257	    0.000066	    0.000043|
|                                      FluidLakes_1	         6	    0.000232	    0.000046	    0.000039|
|                                            Snow_2	         6	    0.000248	    0.000048	    0.000041|
|                                      BottomLava_7	         6	    0.000018	    0.000005	    0.000003|
|                                           Relic_8	         6	    0.000036	    0.000023	    0.000006|
|                                   WaterFalldawn_0	         6	    0.000394	    0.000083	    0.000066|
|                                             Ice_3	         6	    0.000293	    0.000078	    0.000049|
|                                         Animals_4	         6	    0.000446	    0.000085	    0.000074|
|           cubesvr::CGenerator::WriteChunkToBinary	         6	    0.000740	    0.000183	    0.000123|
|                               compress_chunk_data	         6	    0.000116	    0.000036	    0.000019|
