|                                              Func	     Calls	       Total	         Max	         Avr|
|           cubesvr::CGenerator::DoGenerateToBinary	       236	    1.729835	    0.050713	    0.007330|
|                  cubesvr::CGenerator::CreateShape	       236	    0.740655	    0.039150	    0.003138|
|cubesvr::CComposeGenerator_FloatingIslands::ComposeTerrain	       236	    0.115838	    0.034437	    0.000491|
|                cubesvr::CFinishGenerator::Process	       450	    1.005750	    0.046726	    0.002235|
|                                    SurfaceWater_0	      2360	    0.344605	    0.044385	    0.000146|
|                                       HugeCurve_5	       236	    0.159100	    0.035085	    0.000674|
|                                       TallGrass_0	       450	    0.053101	    0.001634	    0.000118|
|                                   ClimbingVines_1	       236	    0.022030	    0.000819	    0.000093|
|                                      FluidLakes_3	       236	    0.019847	    0.001488	    0.000084|
|                                      FluidLakes_4	       236	    0.062091	    0.021558	    0.000263|
|                                         Bourock_7	       236	    0.000168	    0.000016	    0.000001|
|                                           Relic_8	       236	    0.000135	    0.000004	    0.000001|
|                                           Snow_10	       236	    0.045097	    0.025255	    0.000191|
|                                   WaterFalldawn_0	       236	    0.041649	    0.027346	    0.000176|
|                                         Animals_2	       236	    0.018510	    0.000414	    0.000078|
|                                    VanityAnimal_6	       236	    0.103926	    0.040899	    0.000440|
|           cubesvr::CGenerator::WriteChunkToBinary	       236	    0.019823	    0.000828	    0.000084|
|                               compress_chunk_data	       236	    0.002411	    0.000070	    0.000010|
|                     HugeCurveProcess SpecialCurve	        69	    0.001711	    0.000059	    0.000025|
|                                            Ores_9	       214	    0.161661	    0.031874	    0.000755|
|           cubesvr::CFinishGenerator::ResetProcess	       214	    0.029794	    0.000957	    0.000139|
